ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
S873987,Blue Tit,BLUTI,5,F,30/05/2018,,62,9.9,15.7,17.4,IDH,IDH_20180822
S873988,Blue Tit,BLUTI,5,M,30/05/2018,,67,10.3,17.1,19.6,IDH,IDH_20180822
S842420,Coal Tit,COATI,5,F,30/05/2018,,60,9,17.2,19,IDH,IDH_20180822
D895526,Great Tit,GRETI,6,F,30/05/2018,,74,17.5,20.8,23.2,IDH,IDH_20180822
S152683,Great Tit,GRETI,6,M,30/05/2018,,78,17.6,20.9,23.2,IDH,IDH_20180822
D534592,Great Tit,GRETI,6,M,30/05/2018,KB,77,17.6,21,23.5,SB,SB_20180705
VZ80502,Great Tit,GRETI,5,F,30/05/2018,KB,76,18.3,20.5,23.1,SB,SB_20180705
VZ80509,Great Tit,GRETI,5,F,30/05/2018,SP,72,17.3,20.1,22.6,SB,SB_20180705
VZ80833,Great Tit,GRETI,5,M,30/05/2018,SP,74,17.6,20,23.1,SB,SB_20180705
D534838,Great Tit,GRETI,6,F,31/05/2018,,74,17.2,20,22.3,IDH,IDH_20180822
D895909,Great Tit,GRETI,6,M,31/05/2018,,78,18.8,21.4,23.8,IDH,IDH_20180822
NZ05513,Great Tit,GRETI,5,F,31/05/2018,,74,18.6,20.4,23.2,IDH,IDH_20180822
NZ05514,Great Tit,GRETI,5,M,31/05/2018,,76,18.6,21,23.3,IDH,IDH_20180822
NZ05515,Great Tit,GRETI,5,M,31/05/2018,,77,18.9,21.6,24.7,IDH,IDH_20180822
NZ05516,Great Tit,GRETI,5,F,31/05/2018,,73,17.4,19.5,22.3,IDH,IDH_20180822
S842467,Great Tit,GRETI,5,M,31/05/2018,,77,18.7,21.2,24.3,IDH,IDH_20180822
S842472,Great Tit,GRETI,6,F,31/05/2018,,74,16.8,19,21.2,IDH,IDH_20180822
S842541,Great Tit,GRETI,6,M,31/05/2018,GT,77,17.3,21.3,24,SB,SB_20180705
S842542,Great Tit,GRETI,6,F,31/05/2018,GT,75,17.5,20.5,23.5,SB,SB_20180705
VZ80510,Great Tit,GRETI,5,F,31/05/2018,IN,72,17,20.8,23.6,SB,SB_20180705
VZ80511,Great Tit,GRETI,5,M,31/05/2018,IN,76,19.2,21.3,24.2,SB,SB_20180705
S152690,Blue Tit,BLUTI,6,F,01/06/2018,,62,9.5,16.5,18.5,IDH,IDH_20180822
S873994,Blue Tit,BLUTI,6,M,01/06/2018,,67,10.3,16.6,18.8,IDH,IDH_20180822
S873995,Blue Tit,BLUTI,5,F,01/06/2018,,59,8.7,15.4,17.5,IDH,IDH_20180822
S873996,Blue Tit,BLUTI,5,M,01/06/2018,,64,9.4,16.9,18.9,IDH,IDH_20180822
NZ05517,Great Tit,GRETI,5,F,01/06/2018,,72,17.5,19.8,22.6,IDH,IDH_20180822
S842916,Blue Tit,BLUTI,6,F,02/06/2018,,62,10.1,17.2,19.1,IDH,IDH_20180822
D534610,Great Tit,GRETI,6,M,02/06/2018,,77,18.5,21.1,23.8,IDH,IDH_20180822
NZ05523,Great Tit,GRETI,5,M,02/06/2018,,73,17.1,20.8,23.2,IDH,IDH_20180822
S152069,Great Tit,GRETI,6,F,02/06/2018,,74,16.6,20.2,22.4,IDH,IDH_20180822
VZ80793,Great Tit,GRETI,5,F,02/06/2018,,74,17.4,20.5,22.7,IDH,IDH_20180822
,Sand Martin,SANMA,,,02/06/2018,Sellack,105,13.7,10.5,12.8,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,104,13.5,11,13.4,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,108,13.2,11,13.7,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,108,16.3,11.4,14.1,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,105,13.4,11.1,12.1,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,105,15.1,11.9,14.8,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,112,14.7,11,14.7,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,108,13.2,10.7,13.2,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,108,12.2,10.5,11.7,JS,JS_20180621
,Sand Martin,SANMA,,,02/06/2018,Sellack,104,14,10.2,12,JS,JS_20180621
S152751,Great Tit,GRETI,6,F,02/06/2018,SP,73,17.9,20.2,22.5,SB,SB_20180731
S842414,Great Tit,GRETI,6,M,02/06/2018,KB,76,17.2,22,25.2,SB,SB_20180731
S842446,Great Tit,GRETI,5,M,02/06/2018,KB,75,18.4,21.8,24.7,SB,SB_20180731
VZ80516,Great Tit,GRETI,5,F,02/06/2018,KB,72,16.8,20.9,23.1,SB,SB_20180731
VZ80520,Great Tit,GRETI,5,M,02/06/2018,SP,75,17.9,20.1,23.2,SB,SB_20180731
AYC3207,Blue Tit,BLUTI,5,F,03/06/2018,,63,10,17.3,19.2,IDH,IDH_20180822
S842900,Blue Tit,BLUTI,6,M,03/06/2018,,65,10.5,17.8,19.9,IDH,IDH_20180822
S873997,Blue Tit,BLUTI,5,M,03/06/2018,,64,10.3,17.1,19.5,IDH,IDH_20180822
S873998,Blue Tit,BLUTI,5,F,03/06/2018,,60,9.2,16.1,18.4,IDH,IDH_20180822
S152716,Great Tit,GRETI,6,M,03/06/2018,,77,17.2,20.8,23.2,IDH,IDH_20180822
S842500,Great Tit,GRETI,5,M,03/06/2018,,74,17.3,20.5,22.7,IDH,IDH_20180822
S842652,Great Tit,GRETI,5,F,03/06/2018,,72,17.9,20.6,23,IDH,IDH_20180822
TX52408,Great Tit,GRETI,6,F,03/06/2018,,73,16.1,19.8,22.3,IDH,IDH_20180822
S152334,Great Tit,GRETI,6,F,03/06/2018,KB,73,17.4,20.8,23.6,SB,SB_20180731
NZ05546,Great Tit,GRETI,6,F,04/06/2018,,74,17.8,20.1,22.8,IDH,IDH_20180822
NZ05547,Great Tit,GRETI,6,M,04/06/2018,,77,18,21,23.4,IDH,IDH_20180822
Z663002,Great Tit,GRETI,6,F,04/06/2018,,73,17,20.1,22.3,IDH,IDH_20180822
AYC3200,Blue Tit,BLUTI,5,F,04/06/2018,DD,58,9.7,15.2,17.1,SB,SB_20180731
AYC3453,Blue Tit,BLUTI,5,F,04/06/2018,SP,61,9.1,16.8,19,SB,SB_20180731
