ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
-,Chaffinch,CHAFF,3,F,29/09/2018,Crockernwell,83,20.7,18.1,19.6,RJF,RJF_20180929
DXC501,Chiffchaff,CHIFF,3,,29/09/2018,Crockernwell,61,7.7,20.6,21.9,RJF,RJF_20180929
TL73372,Dunnock,DUNNO,4,,29/09/2018,Crockernwell,69,20.5,20.7,23.4,RJF,RJF_20180929
TL73374,House Sparrow,HOUSP,4,M,29/09/2018,Crockernwell,76,26.4,19.6,20.5,RJF,RJF_20180929
Y638706,Coal Tit,COATI,3,,29/09/2018,Crockernwell,59,8.7,10.6,18.2,RJF,RJF_20180929
Y638707,Robin,ROBIN,4,,29/09/2018,Crockernwell,,,26.8,29.6,RJF,RJF_20180929
Y638708,Blue Tit,BLUTI,3,,29/09/2018,Crockernwell,63,10.6,18.7,20,RJF,RJF_20180929
Y638709,Goldfinch,GOLFI,3,F,29/09/2018,Crockernwell,75,14,14.4,16.7,RJF,RJF_20180929
Y638710,Willow Tit,WILTI,3,,29/09/2018,Crockernwell,60,10.2,16.2,18,RJF,RJF_20180929
Y638711,Willow Tit,WILTI,3,,29/09/2018,Crockernwell,61,10.3,16.3,18.4,RJF,RJF_20180929
AFB9934,Robin,ROBIN,3,,29/09/2018,FORC,76,17.8,25.8,28.7,SB,SB_20181025
AFB9935,Great Tit,GRETI,4,F,29/09/2018,FORC,73,17,18.6,21.3,SB,SB_20181025
AFB9937,Blue Tit,BLUTI,3,,29/09/2018,FORC,63,10.4,17,19.2,SB,SB_20181025
AFB9942,Blue Tit,BLUTI,3,,29/09/2018,FORC,61,9.9,16.4,18.9,SB,SB_20181025
AFB9943,Great Tit,GRETI,4,F,29/09/2018,FORC,74,17.5,20.9,23.8,SB,SB_20181025
AFB9945,Great Tit,GRETI,4,M,29/09/2018,FORC,77,20.8,22,25.1,SB,SB_20181025
AFB9949,Great Tit,GRETI,3,F,29/09/2018,FORC,74,17.5,20,23.3,SB,SB_20181025
AFB9951,Great Tit,GRETI,4,F,29/09/2018,FORC,76,17.5,21,23.6,SB,SB_20181025
AFB9952,Blue Tit,BLUTI,4,,29/09/2018,FORC,65,10.9,17.8,20.1,SB,SB_20181025
AFB9956,Chaffinch,CHAFF,4,M,29/09/2018,FORC,89,21.8,18.7,21,SB,SB_20181025
AFB9957,Blue Tit,BLUTI,3,,29/09/2018,FORC,59,10.7,17.4,20.3,SB,SB_20181025
AFB9958,Blue Tit,BLUTI,3,,29/09/2018,FORC,61,9.6,16.6,18.9,SB,SB_20181025
AFB9960,Chaffinch,CHAFF,3,M,29/09/2018,FORC,87,20.8,18.4,21.1,SB,SB_20181025
AFB9961,Chaffinch,CHAFF,4,F,29/09/2018,FORC,81,19.5,17.9,19.7,SB,SB_20181025
AFB9962,Chaffinch,CHAFF,3,M,29/09/2018,FORC,84,21.1,18,20.8,SB,SB_20181025
AFB9964,Chaffinch,CHAFF,3,F,29/09/2018,FORC,78,18.3,18,20.8,SB,SB_20181025
AFB9966,Blue Tit,BLUTI,3,,29/09/2018,FORC,62,10.5,16.7,19.3,SB,SB_20181025
AFB9972,Blue Tit,BLUTI,4,,29/09/2018,FORC,65,10,16.9,19.5,SB,SB_20181025
AFB9973,Great Tit,GRETI,3,F,29/09/2018,FORC,70,17.9,20.7,23.8,SB,SB_20181025
AFB9976,Blue Tit,BLUTI,3,,29/09/2018,FORC,59,10,16.7,19.3,SB,SB_20181025
AFB9978,Blue Tit,BLUTI,3,,29/09/2018,FORC,62,10.5,16.7,19.1,SB,SB_20181025
LH54415,Blackbird,BLABI,3,F,29/09/2018,FORC,124,91.9,36,41.3,SB,SB_20181025
TL73373,Dunnock,DUNNO,3,,30/09/2018,Crockernwell,72,21.8,22.1,24.7,RJF,RJF_20180929
LC97736,Blackbird,BLABI,3,F,30/09/2018,Crockernwell,135,96.5,34.2,38,RJF,RJF_20180929
Y638712,Robin,ROBIN,4,,30/09/2018,Crockernwell,70,17.8,25.2,27.8,RJF,RJF_20180929
Y638713,Blue Tit,BLUTI,3,,30/09/2018,Crockernwell,64,12.6,17.5,20,RJF,RJF_20180929
Y638714,Blue Tit,BLUTI,3,,30/09/2018,Crockernwell,65,12.4,18.1,20.6,RJF,RJF_20180929
Y638715,Blue Tit,BLUTI,3,,30/09/2018,Crockernwell,63,10.8,17,19.7,RJF,RJF_20180929
Y638716,Blue Tit,BLUTI,4,,30/09/2018,Crockernwell,62,10,16,17.9,RJF,RJF_20180929
Y638717,Blue Tit,BLUTI,3,,30/09/2018,Crockernwell,62,10.5,17.2,19.6,RJF,RJF_20180929
Y638718,Blue Tit,BLUTI,3,,30/09/2018,Crockernwell,62,10.6,16.7,19.7,RJF,RJF_20180929
Y638719,Robin,ROBIN,4,,30/09/2018,Crockernwell,71,17.6,24.6,27.3,RJF,RJF_20180929
Y638720,Robin,ROBIN,4,,30/09/2018,Crockernwell,72,16.9,25.2,27.4,RJF,RJF_20180929
NZ05849,Great Tit,GRETI,3,F,30/09/2018,BP,72,17.5,20.4,23,SB,SB_20181025
S873825,Blue Tit,BLUTI,3,,30/09/2018,BP,61,10.3,16.6,19.1,SB,SB_20181025
S873827,Chaffinch,CHAFF,4,F,30/09/2018,BP,79,,18.4,21.3,SB,SB_20181025
NZ05850,Great Tit,GRETI,3,M,01/10/2018,DD,76,19.5,20.6,23.6,SB,SB_20181025
NZ05851,Great Tit,GRETI,3,M,01/10/2018,DD,76,20.2,20.5,23.8,SB,SB_20181025
NZ05852,Great Tit,GRETI,3,M,01/10/2018,DD,76,19.7,21.5,24.6,SB,SB_20181025
S152240,Great Tit,GRETI,4,F,01/10/2018,DD,75,18.3,20,23,SB,SB_20181025
S842965,Blue Tit,BLUTI,4,,01/10/2018,DD,62,9.8,15.5,18.2,SB,SB_20181025
S873829,Blue Tit,BLUTI,3,,01/10/2018,DD,63,10.2,17.2,19.9,SB,SB_20181025
S873830,Robin,ROBIN,3,,01/10/2018,DD,74,18.1,26.6,29.1,SB,SB_20181025
S873831,Robin,ROBIN,4,,01/10/2018,DD,76,20.2,26.5,29.2,SB,SB_20181025
S873832,Blue Tit,BLUTI,3,,01/10/2018,DD,66,10.4,17.8,20.4,SB,SB_20181025
S873833,Blue Tit,BLUTI,3,,01/10/2018,DD,61,9.9,16.1,18.6,SB,SB_20181025
VZ72668,Great Tit,GRETI,4,F,01/10/2018,DD,74,17.3,21.2,24.3,SB,SB_20181025
VZ80771,Great Tit,GRETI,4,M,01/10/2018,DD,75,18.2,20.4,23.4,SB,SB_20181025
AFB9981,Great Tit,GRETI,3,F,02/10/2018,FORC,70,17.8,19.7,22.4,SB,SB_20181025
AFB9982,Great Tit,GRETI,3,F,02/10/2018,FORC,72,18.8,21,24.1,SB,SB_20181025
AFB9984,Great Tit,GRETI,3,F,02/10/2018,FORC,73,17,19.8,22.7,SB,SB_20181025
AFB9987,Blue Tit,BLUTI,3,,02/10/2018,FORC,62,10.4,16.9,19.8,SB,SB_20181025
AFB9990,Blue Tit,BLUTI,3,,02/10/2018,FORC,63,10.1,17.2,19.7,SB,SB_20181025
NZ05853,Great Tit,GRETI,3,M,04/10/2018,IN,76,18.7,20.6,23.6,SB,SB_20181025
S842428,Blue Tit,BLUTI,4,,04/10/2018,IN,63,9.6,16.4,19,SB,SB_20181025
S842500,Great Tit,GRETI,4,M,04/10/2018,IN,75,18.4,20.7,23.7,SB,SB_20181025
Z663192,Blue Tit,BLUTI,4,,04/10/2018,IN,66,10.6,17.1,19.6,SB,SB_20181025
AVA4591,Blue Tit,BLUTI,3,,06/10/2018,CCBO,64,10.8,17.3,20.1,SB,SB_20181025
AVA4624,Blue Tit,BLUTI,3,,06/10/2018,CCBO,62,10.2,15.7,18.2,SB,SB_20181025
AVA4626,Blue Tit,BLUTI,3,,06/10/2018,CCBO,62,10.3,16.5,18.7,SB,SB_20181025
AVA4650,Robin,ROBIN,3,,06/10/2018,CCBO,71,17.3,26.4,29.4,SB,SB_20181025
AVA4651,Blue Tit,BLUTI,3,,06/10/2018,CCBO,61,9.5,16,18.7,SB,SB_20181025
AVA4654,Great Tit,GRETI,3,M,06/10/2018,CCBO,73,17.1,20.1,23.3,SB,SB_20181025
AVA4655,Great Tit,GRETI,3,F,06/10/2018,CCBO,72,16.7,20.3,23.4,SB,SB_20181025
AVA4657,Great Tit,GRETI,3,M,06/10/2018,CCBO,76,19,20.7,23.7,SB,SB_20181025
AVA4660,Blue Tit,BLUTI,3,,06/10/2018,CCBO,59,9.7,16.1,18.6,SB,SB_20181025
AVA4661,Great Tit,GRETI,3,F,06/10/2018,CCBO,70,16.5,19.8,22.8,SB,SB_20181025
AVA4662,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,82,22.3,18.6,21.6,SB,SB_20181025
AVA4663,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,80,20.1,18.6,21.6,SB,SB_20181025
AVA4664,Chaffinch,CHAFF,3,M,06/10/2018,CCBO,87,21.2,18.7,21.6,SB,SB_20181025
AVA4665,Chaffinch,CHAFF,4,F,06/10/2018,CCBO,83,19,17.9,20.3,SB,SB_20181025
AVA4666,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,80,19.4,19,21.8,SB,SB_20181025
AVA4667,Chaffinch,CHAFF,4,F,06/10/2018,CCBO,81,19.3,17.6,20.3,SB,SB_20181025
AVA4668,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,80,20.3,18.6,20.8,SB,SB_20181025
AVA4669,Chaffinch,CHAFF,4,F,06/10/2018,CCBO,84,20.7,19.1,22.3,SB,SB_20181025
AVA4670,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,79,19.7,17.3,19.9,SB,SB_20181025
AVA4671,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,81,20.3,19,21.5,SB,SB_20181025
AVA4672,Chaffinch,CHAFF,4,F,06/10/2018,CCBO,83,21,17.9,20.7,SB,SB_20181025
AVA4673,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,80,18.4,17.5,20.2,SB,SB_20181025
AVA4674,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,77,19.9,17.7,20.3,SB,SB_20181025
AVA4675,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,79,19.7,17.5,19.9,SB,SB_20181025
AVA4695,Blue Tit,BLUTI,3,,06/10/2018,CCBO,61,9.7,16.7,19.5,SB,SB_20181025
AVA4696,Blue Tit,BLUTI,3,,06/10/2018,CCBO,60,9.3,16.9,19.5,SB,SB_20181025
AVA4697,Great Tit,GRETI,3,F,06/10/2018,CCBO,74,17.8,19.7,23.1,SB,SB_20181025
AVA4698,Chaffinch,CHAFF,4,F,06/10/2018,CCBO,79,18.2,18.4,21.1,SB,SB_20181025
AVA4699,Blue Tit,BLUTI,3,,06/10/2018,CCBO,60,9.6,15.8,18.8,SB,SB_20181025
AVA4700,Chaffinch,CHAFF,3,M,06/10/2018,CCBO,85,23.2,18,20.7,SB,SB_20181025
AVA4701,Chaffinch,CHAFF,3,F,06/10/2018,CCBO,82,21.9,18.9,21.8,SB,SB_20181025
AVA4703,Blue Tit,BLUTI,3,,06/10/2018,CCBO,63,10.5,17.2,19.7,SB,SB_20181025
AVA4631,Robin,ROBIN,3,,07/10/2018,CCBO,73,17.2,26,28.7,SB,SB_20181025
AVA4706,Chaffinch,CHAFF,3,F,07/10/2018,CCBO,81,21,18.7,21.5,SB,SB_20181025
AVA4707,Chaffinch,CHAFF,3,F,07/10/2018,CCBO,84,21.3,18.3,22.2,SB,SB_20181025
AVA4708,Blue Tit,BLUTI,3,,07/10/2018,CCBO,60,10.3,16.8,20,SB,SB_20181025
X469531,Robin,ROBIN,4,,07/10/2018,CCBO,74,17,25.1,28.1,SB,SB_20181025
NZ05854,Great Tit,GRETI,3,M,08/10/2018,DW,76,19.7,20.3,23.2,SB,SB_20181025
NZ05855,Great Tit,GRETI,3,F,08/10/2018,DW,73,17.4,21.2,24.6,SB,SB_20181025
NZ05856,Great Tit,GRETI,3,F,08/10/2018,DW,72,16.5,19.7,22.6,SB,SB_20181025
NZ05857,Great Tit,GRETI,3,F,08/10/2018,DW,71,18.6,20.2,23.3,SB,SB_20181025
NZ05858,Great Tit,GRETI,3,M,08/10/2018,DW,76,18.1,21.3,24.2,SB,SB_20181025
NZ05859,Great Tit,GRETI,3,F,08/10/2018,DW,73,18,20.2,22.8,SB,SB_20181025
NZ05860,Great Tit,GRETI,3,F,08/10/2018,DW,73,16.9,21.1,24.1,SB,SB_20181025
NZ05861,Great Tit,GRETI,4,M,08/10/2018,DW,77,18.3,21,23.9,SB,SB_20181025
S873838,Blue Tit,BLUTI,3,,08/10/2018,DW,63,10.7,17.1,19.6,SB,SB_20181025
S873839,Chaffinch,CHAFF,4,F,08/10/2018,DW,83,18.6,18.1,21,SB,SB_20181025
S873840,Blue Tit,BLUTI,3J,,08/10/2018,DW,66,10.9,16,18.7,SB,SB_20181025
S873843,Chaffinch,CHAFF,3,F,08/10/2018,DW,79,19.2,19.1,21.6,SB,SB_20181025
S873844,Chaffinch,CHAFF,3,M,08/10/2018,DW,87,20.8,19.3,22.2,SB,SB_20181025
S873845,Chaffinch,CHAFF,3,M,08/10/2018,DW,86,20.6,18.3,21.2,SB,SB_20181025
S873846,Chaffinch,CHAFF,3,F,08/10/2018,DW,80,21.1,18,20.7,SB,SB_20181025
S873847,Chaffinch,CHAFF,3,F,08/10/2018,DW,80,19.8,18.1,20.8,SB,SB_20181025
S873848,Chaffinch,CHAFF,4,F,08/10/2018,DW,84,19.1,18.1,21,SB,SB_20181025
S873849,Chaffinch,CHAFF,3,M,08/10/2018,DW,87,22.3,18.5,21.2,SB,SB_20181025
S873850,Chaffinch,CHAFF,3,F,08/10/2018,DW,78,19.3,18.2,20.8,SB,SB_20181025
S873851,Chaffinch,CHAFF,3,F,08/10/2018,DW,83,20.4,18.8,21.7,SB,SB_20181025
S873852,Chaffinch,CHAFF,3,F,08/10/2018,DW,83,19.8,18.9,21.7,SB,SB_20181025
S873853,Chaffinch,CHAFF,3,F,08/10/2018,DW,80,18.7,18.4,21.1,SB,SB_20181025
S873854,Chaffinch,CHAFF,3,M,08/10/2018,DW,86,23,19,21.7,SB,SB_20181025
S873855,Chaffinch,CHAFF,3,F,08/10/2018,DW,80,18.4,18.9,21.5,SB,SB_20181025
S873856,Blue Tit,BLUTI,3,,08/10/2018,DW,61,9.9,16.5,18.8,SB,SB_20181025
VZ80787,Great Tit,GRETI,4,F,09/10/2018,CB,72,16.6,19.8,22.6,SB,SB_20181016
VZ80761,Great Tit,GRETI,4,F,09/10/2018,CB,74,16.8,19.7,22.8,SB,SB_20181016
NZ05862,Great Tit,GRETI,3,M,09/10/2018,CB,75,17.7,20.1,23.1,SB,SB_20181016
VZ80781,Great Tit,GRETI,4,F,09/10/2018,CB,74,17.7,20.1,23,SB,SB_20181016
NZ05863,Great Tit,GRETI,3,F,09/10/2018,CB,74,18.6,21.3,24.3,SB,SB_20181016
NZ05864,Great Tit,GRETI,3,F,09/10/2018,CB,75,18.6,20.9,23.7,SB,SB_20181016
S873858,Blue Tit,BLUTI,3,,09/10/2018,CB,61,9.5,16.4,18.9,SB,SB_20181022
S873859,Chaffinch,CHAFF,4,M,09/10/2018,CB,88,20.5,18.9,21.7,SB,SB_20181023
S873860,Chaffinch,CHAFF,4,F,09/10/2018,CB,80,19.7,18.5,21.1,SB,SB_20181024
S873867,Blue Tit,BLUTI,3,,09/10/2018,CB,64,10.4,17.5,20.1,SB,SB_20181025
S873868,Blue Tit,BLUTI,3,,09/10/2018,CB,63,10.6,17.3,19.8,SB,SB_20181025
S873869,Chaffinch,CHAFF,4,F,09/10/2018,CB,83,19.9,18.1,20.3,SB,SB_20181025
S873875,Chaffinch,CHAFF,3,M,10/10/2018,KB,86,21.3,18.9,21.7,SB,SB_20181025
S873876,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,19.9,18.1,20.7,SB,SB_20181025
NZ05865,Great Tit,GRETI,3,M,10/10/2018,KB,73,18.3,20.7,23.8,SB,SB_20181025
NZ05866,Great Tit,GRETI,3,F,10/10/2018,KB,74,18.8,21.6,24.2,SB,SB_20181025
NZ05542,Great Tit,GRETI,3,F,10/10/2018,KB,72,16.8,20.1,23,SB,SB_20181025
S842718,Great Tit,GRETI,4,F,10/10/2018,KB,76,17.5,20,23.2,SB,SB_20181025
NZ05867,Great Tit,GRETI,4,M,10/10/2018,KB,78,18.3,21,24.1,SB,SB_20181025
NZ05868,Great Tit,GRETI,3,M,10/10/2018,KB,77,19.1,21.1,24.2,SB,SB_20181025
NZ05869,Great Tit,GRETI,3,M,10/10/2018,KB,74,18.5,20.7,23.6,SB,SB_20181025
NZ05870,Great Tit,GRETI,4,F,10/10/2018,KB,75,17,20.5,23.4,SB,SB_20181025
NZ05871,Great Tit,GRETI,4,F,10/10/2018,KB,72,17.4,20.1,23.2,SB,SB_20181025
NZ05872,Great Tit,GRETI,3,F,10/10/2018,KB,71,17.8,19.6,22.6,SB,SB_20181025
NZ05873,Great Tit,GRETI,3,M,10/10/2018,KB,74,20.5,21.7,24.6,SB,SB_20181025
NZ05874,Great Tit,GRETI,4,M,10/10/2018,KB,78,18.5,21,23.8,SB,SB_20181025
S873877,Chaffinch,CHAFF,4,M,10/10/2018,KB,88,21.8,18,21,SB,SB_20181025
S873878,Blue Tit,BLUTI,3,,10/10/2018,KB,64,10.3,16.2,18.9,SB,SB_20181025
S873879,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,19.8,19.3,22,SB,SB_20181025
S873880,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,18.7,18.2,20.9,SB,SB_20181025
S873881,Chaffinch,CHAFF,4,F,10/10/2018,KB,81,16.9,16.6,19.1,SB,SB_20181025
S873882,Chaffinch,CHAFF,4,M,10/10/2018,KB,87,20.8,19.1,21.5,SB,SB_20181025
S873883,Chaffinch,CHAFF,3,F,10/10/2018,KB,81,19.7,18.5,21.3,SB,SB_20181025
S873884,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,19.6,18.1,20.9,SB,SB_20181025
S873885,Chaffinch,CHAFF,3,M,10/10/2018,KB,88,20.4,18.5,21.1,SB,SB_20181025
S873886,Chaffinch,CHAFF,3,F,10/10/2018,KB,79,21.1,18.9,21.6,SB,SB_20181025
NZ05875,Great Tit,GRETI,3,F,11/10/2018,DD,74,18.4,21.1,24,SB,SB_20181025
NZ05876,Great Tit,GRETI,4,F,11/10/2018,DD,74,16.6,20.6,23.5,SB,SB_20181025
NZ05877,Great Tit,GRETI,4,M,11/10/2018,DD,76,19.1,20.8,23.9,SB,SB_20181025
VZ72673,Great Tit,GRETI,4,M,11/10/2018,DD,76,18,19.7,22.6,SB,SB_20181025
VZ80788,Great Tit,GRETI,4,M,11/10/2018,DD,78,18.6,21,23.6,SB,SB_20181025
VZ72662,Great Tit,GRETI,4,F,11/10/2018,DD,77,18.1,20.6,23.5,SB,SB_20181025
NZ05878,Great Tit,GRETI,3,F,11/10/2018,DD,72,17.3,20.5,23.5,SB,SB_20181025
VZ80855,Great Tit,GRETI,4,M,11/10/2018,DD,78,19.1,20.7,23.7,SB,SB_20181025
S873889,Blue Tit,BLUTI,4,,11/10/2018,DD,64,10.1,16.9,19.2,SB,SB_20181025
S873890,Blue Tit,BLUTI,3,,11/10/2018,DD,59,9.1,16.5,18.9,SB,SB_20181025
S873891,Chaffinch,CHAFF,4,F,11/10/2018,DD,82,18.5,17.2,20.4,SB,SB_20181025
S873892,Chaffinch,CHAFF,4,M,11/10/2018,DD,86,20,18.4,21,SB,SB_20181025
S873893,Chaffinch,CHAFF,3,M,11/10/2018,DD,87,21.3,19.4,22.4,SB,SB_20181025
S873894,Chaffinch,CHAFF,3,F,11/10/2018,DD,79,21.8,18.8,21.5,SB,SB_20181025
S873897,Chaffinch,CHAFF,4,M,11/10/2018,DD,86,21,18.5,21.1,SB,SB_20181025
S873898,Chaffinch,CHAFF,3,F,11/10/2018,DD,80,18.1,17.3,20,SB,SB_20181025
S873899,Chaffinch,CHAFF,3,F,11/10/2018,DD,81,19.7,17.6,20.4,SB,SB_20181025
S873900,Chaffinch,CHAFF,3,F,11/10/2018,DD,82,19.7,18.4,21.1,SB,SB_20181025
AYC3278,Blue Tit,BLUTI,3,,11/10/2018,DD,65,10.4,17.2,19.9,SB,SB_20181025
AYC3279,Blue Tit,BLUTI,3,,11/10/2018,DD,61,9.9,16.5,18.8,SB,SB_20181025
AYC3280,Blue Tit,BLUTI,3,,11/10/2018,DD,62,10.2,16.8,19.2,SB,SB_20181025
AYC3281,Blue Tit,BLUTI,3,,11/10/2018,DD,64,10.9,17.2,20,SB,SB_20181025
AYC3282,Chaffinch,CHAFF,4,M,11/10/2018,DD,85,20.3,18.8,21.2,SB,SB_20181025
AYC3283,Chaffinch,CHAFF,3,F,11/10/2018,DD,80,19.4,17.9,20.7,SB,SB_20181025
AYC3284,Chaffinch,CHAFF,4,M,11/10/2018,DD,89,19.1,17.9,20.4,SB,SB_20181025
AYC3285,Chaffinch,CHAFF,3,M,11/10/2018,DD,87,20.7,18.6,21.6,SB,SB_20181025
AYC3287,Chaffinch,CHAFF,3,M,11/10/2018,DD,85,20.6,18.1,20.9,SB,SB_20181025
AYC3288,Chaffinch,CHAFF,3,M,11/10/2018,DD,83,21.2,18.6,21.4,SB,SB_20181025
AYC3289,Chaffinch,CHAFF,3,M,11/10/2018,DD,88,22.4,18.4,21.1,SB,SB_20181025
AYC3290,Chaffinch,CHAFF,4,M,11/10/2018,DD,86,22.1,19,21.7,SB,SB_20181025
NZ05879,Great Tit,GRETI,3,M,14/10/2018,BP,76,19.2,20.1,22.9,SB,SB_20181025
S842393,Great Tit,GRETI,4,F,14/10/2018,BP,73,17,20.1,23.1,SB,SB_20181025
NZ05880,Great Tit,GRETI,3,M,14/10/2018,BP,76,19.3,21.4,24.7,SB,SB_20181025
S842689,Great Tit,GRETI,4,F,14/10/2018,BP,74,17.3,20.5,23.6,SB,SB_20181025
S152716,Great Tit,GRETI,4,M,14/10/2018,BP,77,17.6,20.7,23.8,SB,SB_20181025
AYC3297,Chaffinch,CHAFF,3,F,14/10/2018,BP,79,18,17.8,20.5,SB,SB_20181025
LK05056,Blackbird,BLABI,3,F,14/10/2018,BP,125,87,34.5,39.2,SB,SB_20181025
LK05057,Blackbird,BLABI,3,M,14/10/2018,BP,130,96.9,35.5,40.8,SB,SB_20181025
LK05058,Blackbird,BLABI,3,M,14/10/2018,BP,131,89.3,35,39.7,SB,SB_20181025
AYC3555,Blue Tit,BLUTI,3,,14/10/2018,BP,66,10.7,17,19.9,SB,SB_20181025
AYC3564,Chaffinch,CHAFF,3,F,14/10/2018,BP,80,19.2,17.9,20.8,SB,SB_20181025
AYC3565,Chaffinch,CHAFF,3,F,14/10/2018,BP,79,18.7,17,19.6,SB,SB_20181025
AYC3566,Chaffinch,CHAFF,3,F,14/10/2018,BP,78,18,17.7,20.1,SB,SB_20181025
AYC3568,Blue Tit,BLUTI,3,,14/10/2018,BP,62,9.8,15.9,18.4,SB,SB_20181025
AYC3569,Chaffinch,CHAFF,3,M,14/10/2018,BP,85,21.4,18.5,21.3,SB,SB_20181025
NZ05884,Great Tit,GRETI,3,M,15/10/2018,DW,75,18.4,20.5,23.4,SB,SB_20181025
VZ72639,Great Tit,GRETI,4,F,15/10/2018,DW,72,16.1,19.8,22.6,SB,SB_20181025
NZ05596,Great Tit,GRETI,4,F,15/10/2018,DW,73,16.8,20.2,23.1,SB,SB_20181025
NZ05885,Great Tit,GRETI,4,M,15/10/2018,DW,77,18.8,21,24,SB,SB_20181025
NZ05886,Great Tit,GRETI,3,F,15/10/2018,DW,73,17.7,19,22,SB,SB_20181025
NZ05887,Great Tit,GRETI,4,M,15/10/2018,DW,75,18.5,20.4,23.6,SB,SB_20181025
NZ05888,Great Tit,GRETI,4,F,15/10/2018,DW,73,16.6,20.2,23,SB,SB_20181025
AYC3571,Chaffinch,CHAFF,3,M,15/10/2018,DW,86,21.6,18.9,21.6,SB,SB_20181025
AYC3572,Chaffinch,CHAFF,3,M,15/10/2018,DW,83,19.5,18.3,21,SB,SB_20181025
AYC3573,Chaffinch,CHAFF,3,M,15/10/2018,DW,85,20,18.3,20.9,SB,SB_20181025
AYC3574,Chaffinch,CHAFF,3,M,15/10/2018,DW,84,21.5,18.2,21,SB,SB_20181025
AYC3575,Chaffinch,CHAFF,3,M,15/10/2018,DW,86,21.5,17.7,20.6,SB,SB_20181025
AYC3576,Chaffinch,CHAFF,3,F,15/10/2018,DW,81,19,19,21.8,SB,SB_20181025
AYC3577,Chaffinch,CHAFF,3,M,15/10/2018,DW,85,22.5,18.9,21.5,SB,SB_20181025
AYC3578,Blue Tit,BLUTI,3,,15/10/2018,DW,60,9.5,16.5,19.2,SB,SB_20181025
AYC3579,Robin,ROBIN,3,,15/10/2018,DW,74,18.7,26.8,29.7,SB,SB_20181025
AYC3580,Chaffinch,CHAFF,3,M,15/10/2018,DW,87,21.1,18.7,21.6,SB,SB_20181025
AYC3581,Chaffinch,CHAFF,4,M,16/10/2018,DD,88,19.8,16.7,19.2,SB,SB_20181025
NZ05889,Great Tit,GRETI,3,F,16/10/2018,DD,74,16.5,20,22.9,SB,SB_20181025
TX52084,Great Tit,GRETI,4,M,16/10/2018,DD,78,18.4,21,24.2,SB,SB_20181025
AYC3583,Blue Tit,BLUTI,3,,17/10/2018,KB,65,10.1,16.9,19.1,SB,SB_20181022
AYC3584,Blue Tit,BLUTI,4,,17/10/2018,KB,63,10.6,17.2,19.6,SB,SB_20181022
AYC3587,Blue Tit,BLUTI,4,,17/10/2018,KB,62,9.5,16.6,19,SB,SB_20181022
AYC3589,Blue Tit,BLUTI,3,,17/10/2018,KB,60,9.4,16.8,19.5,SB,SB_20181022
AYC3591,Blue Tit,BLUTI,3,,17/10/2018,KB,60,9.2,16.1,18.3,SB,SB_20181022
AYC3593,Blue Tit,BLUTI,3,,17/10/2018,KB,62,10.3,17,19.4,SB,SB_20181022
AYC3596,Blue Tit,BLUTI,4,,17/10/2018,KB,60,10.1,16.5,19.2,SB,SB_20181022
AYC3599,Blue Tit,BLUTI,3,,17/10/2018,KB,60,10,16.2,18.9,SB,SB_20181022
AYC3585,Chaffinch,CHAFF,3,M,17/10/2018,KB,83,20.8,18.5,21.3,SB,SB_20181022
AYC3586,Chaffinch,CHAFF,3,F,17/10/2018,KB,79,18.2,18.8,21.5,SB,SB_20181022
AYC3595,Chaffinch,CHAFF,4,F,17/10/2018,KB,82,19.3,18.5,21,SB,SB_20181022
AYC3600,Chaffinch,CHAFF,3,F,17/10/2018,KB,78,18.9,17.6,20.4,SB,SB_20181022
AYC3601,Chaffinch,CHAFF,3,F,17/10/2018,KB,77,19.1,18.7,21.2,SB,SB_20181022
AYC3602,Chaffinch,CHAFF,3,F,17/10/2018,KB,80,17.8,17.6,20.2,SB,SB_20181022
AYC3603,Chaffinch,CHAFF,3,F,17/10/2018,KB,76,19,18.6,21.1,SB,SB_20181022
S152865,Great Tit,GRETI,4,F,17/10/2018,KB,75,17.6,20.5,23.1,SB,SB_20181022
S842665,Great Tit,GRETI,4,M,17/10/2018,KB,76,18.8,20.3,23.2,SB,SB_20181022
NZ05890,Great Tit,GRETI,3,F,17/10/2018,KB,71,16.7,20.1,22.8,SB,SB_20181022
NZ05891,Great Tit,GRETI,3,M,17/10/2018,KB,72,17.6,20.4,23.2,SB,SB_20181022
NZ05892,Great Tit,GRETI,4,F,17/10/2018,KB,74,18.1,20.9,23.4,SB,SB_20181022
NZ05893,Great Tit,GRETI,3,F,17/10/2018,KB,72,17.4,20.7,23.2,SB,SB_20181022
